Configuración ,Promedio fork,Promedio OpenMP,Promedio Posix
256x1,62007,20211,59784
256x2,34782,11686,32748
256X4,23241,9599,21176
256X8 ,21493,9174,20748
512x1 ,773050,428283,754736
512x2,387075,164331,386492
512x4,203080,96952,239051
512x8 ,197958,94936,221110
1024x1,7303968,3760313,7561621
1024x2,3445962,1357249,3733065
1024x4,1709976,778973,1872688
1024x8,1750302,726044,1610386
